id,age,race,sex,workclass,income
757,54,White,Male,Private,>50K
758,33,White,Female,Local-gov,<=50K
759,46,White,Female,Federal-gov,>50K
760,37,Black,Male,Private,<=50K
761,36,White,Female,Private,<=50K
762,59,White,Female,Local-gov,>50K
763,34,White,Male,Local-gov,<=50K
764,53,White,Male,Self-emp-inc,>50K
765,51,White,Male,Private,>50K
766,32,White,Female,Private,<=50K
767,31,White,Male,State-gov,<=50K
768,22,White,Female,Private,<=50K
769,47,White,Female,Self-emp-not-inc,<=50K
770,32,White,Male,Private,<=50K
771,26,White,Female,Private,<=50K
772,37,White,Male,Private,<=50K
773,31,White,Male,Private,<=50K
774,37,White,Female,Private,>50K
775,55,White,Male,Private,<=50K
776,23,White,Male,Local-gov,<=50K
777,36,White,Female,Private,<=50K
778,34,White,Male,Private,<=50K
779,43,White,Male,Private,>50K
780,54,White,Male,Private,<=50K
781,43,White,Male,State-gov,<=50K
782,28,White,Female,Private,<=50K
783,40,White,Male,Private,>50K
784,41,White,Male,Self-emp-not-inc,<=50K
785,40,Other,Female,Private,>50K
786,42,Black,Female,Private,<=50K
787,61,White,Male,Self-emp-not-inc,<=50K
788,18,White,Male,Private,<=50K
789,59,White,Male,?,<=50K
790,21,White,Female,?,<=50K
791,48,White,Male,Private,>50K
792,41,White,Male,Self-emp-inc,<=50K
793,18,White,Male,?,<=50K
794,23,White,Female,Private,<=50K
795,60,White,Male,Private,>50K
796,22,Black,Male,Private,<=50K
797,61,White,Male,Private,<=50K
798,25,Black,Male,Private,<=50K
799,46,White,Male,Private,>50K
800,43,White,Male,Private,>50K
801,43,White,Male,Private,<=50K
802,24,Black,Male,Private,<=50K
803,68,White,Male,Self-emp-not-inc,<=50K
804,31,White,Female,Private,<=50K
805,17,White,Female,Private,<=50K
806,32,White,Male,Private,>50K
807,50,White,Male,?,<=50K
808,33,White,Male,Private,>50K
809,64,White,Male,Private,>50K
810,20,White,Male,Private,<=50K
811,30,White,Female,Private,<=50K
812,22,Black,Male,?,<=50K
813,43,White,Male,Private,<=50K
814,22,White,Male,Private,<=50K
815,17,White,Male,Private,<=50K
816,47,White,Female,Self-emp-not-inc,<=50K
817,41,White,Female,Private,<=50K
818,56,White,Male,Private,>50K
819,64,White,Male,Private,<=50K
820,47,White,Male,Private,>50K
821,48,White,Male,Private,<=50K
822,31,White,Female,Private,<=50K
823,29,White,Male,Private,<=50K
824,30,White,Female,Private,<=50K
825,32,White,Male,Private,<=50K
826,57,White,Male,Private,>50K
827,62,White,Female,Private,<=50K
828,39,White,Female,Private,<=50K
829,43,White,Male,Private,<=50K
830,24,White,Male,Self-emp-inc,<=50K
831,42,White,Male,?,<=50K
832,53,White,Female,Private,>50K
833,26,White,Male,Private,<=50K
834,73,White,Male,Self-emp-not-inc,<=50K
835,72,White,Female,?,<=50K
836,55,White,Male,Private,<=50K
837,25,White,Male,Private,<=50K
838,41,White,Female,Private,>50K
839,24,White,Male,Private,<=50K
840,63,White,Male,Private,<=50K
841,17,White,Male,Private,<=50K
842,35,White,Male,Private,<=50K
843,51,White,Male,Private,>50K
844,62,White,Female,Local-gov,<=50K
845,55,White,Male,Private,>50K
846,43,White,Male,Private,<=50K
847,40,White,Female,Local-gov,<=50K
848,37,White,Male,Private,>50K
849,39,White,Male,Private,<=50K
850,31,White,Male,Private,<=50K
851,61,White,Female,Private,>50K
852,26,White,Female,Private,<=50K
853,46,White,Male,Self-emp-not-inc,<=50K
854,26,White,Female,Private,<=50K
855,48,White,Male,State-gov,>50K
856,34,White,Male,Private,<=50K
857,34,White,Female,Local-gov,<=50K
858,59,White,Male,Private,>50K
859,34,White,Female,Private,<=50K
860,49,White,Female,Private,>50K
861,18,White,Female,Private,<=50K
862,43,White,Male,Private,<=50K
863,48,White,Male,Private,<=50K
864,28,White,Male,Self-emp-inc,<=50K
865,33,White,Male,Private,<=50K
866,24,White,Female,Private,<=50K
867,21,White,Male,Private,<=50K
868,17,White,Male,Private,<=50K
869,39,White,Male,Private,>50K
870,29,White,Male,Self-emp-not-inc,<=50K
871,44,White,Male,Private,>50K
872,24,White,Male,Private,<=50K
873,71,White,Male,Self-emp-not-inc,>50K
874,51,Asian-Pac-Islander,Male,Self-emp-not-inc,>50K
875,55,Black,Male,Private,<=50K
876,41,White,Male,Private,>50K
877,23,Black,Female,Private,<=50K
878,38,White,Female,Private,<=50K
879,39,White,Male,Private,>50K
880,19,White,Female,Private,<=50K
881,49,White,Female,Private,<=50K
882,32,White,Male,Private,>50K
883,27,White,Male,Private,<=50K
884,38,White,Male,Private,>50K
885,33,White,Female,Private,<=50K
886,63,White,Male,?,<=50K
887,23,White,Male,Private,<=50K
888,33,White,Male,Self-emp-inc,<=50K
889,54,Black,Male,Self-emp-not-inc,<=50K
890,29,White,Female,Private,<=50K
891,48,Black,Female,?,<=50K
892,35,White,Male,Self-emp-not-inc,<=50K
893,28,Asian-Pac-Islander,Female,Private,<=50K
894,37,White,Male,Private,>50K
895,42,White,Male,Self-emp-not-inc,>50K
896,40,White,Male,Private,<=50K
897,47,White,Male,Private,<=50K
898,22,White,Female,Private,<=50K
899,30,White,Male,Private,>50K
900,28,White,Male,Private,<=50K
901,63,White,Male,Local-gov,<=50K
902,51,White,Male,Self-emp-not-inc,<=50K
903,22,White,Female,Private,<=50K
904,27,Amer-Indian-Eskimo,Male,?,<=50K
905,35,White,Male,Private,<=50K
906,46,White,Female,Private,<=50K
907,37,White,Male,Private,<=50K
908,24,Black,Male,Private,<=50K
909,37,White,Male,Self-emp-not-inc,<=50K
910,53,White,Male,Private,<=50K
911,27,White,Male,Private,<=50K
912,38,White,Male,Private,<=50K
913,53,White,Male,Self-emp-not-inc,<=50K
914,34,White,Male,Private,<=50K
915,23,Black,Male,Private,<=50K
916,39,White,Male,Private,>50K
917,43,Asian-Pac-Islander,Female,Private,<=50K
918,67,Asian-Pac-Islander,Male,Self-emp-inc,>50K
919,81,White,Male,Self-emp-not-inc,<=50K
920,21,White,Male,Private,<=50K
921,23,White,Male,Private,<=50K
922,25,White,Male,Private,<=50K
923,42,White,Female,Private,<=50K
924,38,Black,Female,Private,<=50K
925,64,White,Male,?,<=50K
926,32,White,Male,Private,<=50K
927,37,White,Male,Private,<=50K
928,51,White,Male,Private,>50K
929,22,White,Female,Private,<=50K
930,33,White,Female,Private,<=50K
931,42,White,Male,Private,<=50K
932,19,White,Female,?,<=50K
933,51,White,Male,Local-gov,<=50K
934,23,White,Female,Private,<=50K
935,37,White,Male,Private,>50K
936,37,White,Male,Private,>50K
937,47,White,Female,Private,<=50K
938,41,White,Male,Private,>50K
939,33,White,Male,Private,<=50K
940,31,White,Male,Private,>50K
941,31,Amer-Indian-Eskimo,Female,Private,<=50K
942,35,Black,Male,Private,<=50K
943,38,White,Male,Self-emp-inc,>50K
944,18,White,Female,Private,<=50K
945,20,White,Male,Private,<=50K
946,54,Black,Female,Local-gov,<=50K
947,40,White,Female,Private,<=50K
948,36,White,Female,Self-emp-inc,>50K
949,43,White,Male,Private,<=50K
950,44,White,Male,Self-emp-not-inc,<=50K
951,44,White,Female,State-gov,>50K
952,43,White,Male,Private,>50K
953,51,Black,Female,Private,<=50K
954,18,White,Female,Private,<=50K
955,51,White,Male,Private,<=50K
956,41,White,Male,Private,<=50K
957,44,White,Male,Self-emp-inc,>50K
958,33,White,Male,Local-gov,<=50K
959,33,White,Male,Self-emp-not-inc,>50K
960,42,White,Male,Private,>50K
961,25,White,Male,Private,<=50K
962,32,White,Female,Private,<=50K
963,32,White,Male,Private,<=50K
964,36,White,Female,Private,<=50K
965,28,White,Male,Private,<=50K
966,20,White,Female,Private,<=50K
967,35,White,Male,Self-emp-inc,>50K
968,55,White,Male,Self-emp-not-inc,<=50K
969,48,Asian-Pac-Islander,Male,Private,>50K
970,36,White,Female,?,<=50K
971,34,White,Male,Private,>50K
972,28,White,Female,Private,<=50K
973,67,White,Male,Private,>50K
974,37,White,Male,Private,<=50K
975,44,White,Male,Private,<=50K
976,25,White,Female,Private,<=50K
977,21,White,Female,Private,<=50K
978,40,White,Male,State-gov,>50K
979,78,Black,Female,Private,<=50K
980,34,White,Male,Private,<=50K
981,49,White,Female,Private,<=50K
982,22,White,Female,Private,<=50K
983,23,Black,Female,?,<=50K
984,60,White,Male,Self-emp-not-inc,<=50K
985,45,White,Male,Local-gov,>50K
986,63,White,Female,Private,<=50K
987,41,Black,Female,Private,<=50K
988,47,White,Female,Private,<=50K
989,44,White,Male,Private,<=50K
990,51,White,Female,Private,<=50K
991,46,White,Male,Private,<=50K
992,41,White,Male,Private,<=50K
993,50,White,Male,Self-emp-not-inc,<=50K
994,47,White,Male,Private,>50K
995,35,White,Male,Private,<=50K
996,56,White,Male,Private,>50K
997,45,White,Male,Private,<=50K
998,48,White,Male,Federal-gov,>50K
999,40,White,Male,Private,<=50K
1000,39,White,Male,Self-emp-inc,>50K
1001,20,White,Male,Private,<=50K
1002,50,White,Male,Private,>50K
1003,38,White,Female,State-gov,>50K
1004,23,White,Female,Local-gov,<=50K
1005,31,White,Male,Private,<=50K
1006,58,White,Male,Private,<=50K
1007,66,Black,Male,Private,<=50K
1008,39,White,Male,Self-emp-inc,>50K
1009,54,White,Male,Self-emp-not-inc,>50K
1010,26,White,Male,Private,<=50K
1011,51,White,Female,Private,<=50K
1012,34,White,Male,Private,<=50K
1013,50,White,Male,Private,>50K
1014,42,White,Male,Private,>50K
1015,38,White,Male,Private,<=50K
1016,48,White,Male,Private,<=50K
1017,33,White,Female,Private,>50K
1018,51,White,Female,Private,<=50K
1019,22,White,Male,Private,<=50K
1020,19,White,Male,?,<=50K
1021,41,White,Male,Private,<=50K
1022,48,White,Male,Local-gov,>50K
1023,42,White,Female,Private,<=50K
1024,34,White,Male,Private,<=50K
1025,23,Black,Female,Private,<=50K
1026,56,White,Male,Private,<=50K
1027,30,Black,Male,Private,<=50K
1028,45,White,Male,Private,>50K
1029,48,White,Female,Private,<=50K
1030,48,Asian-Pac-Islander,Male,Self-emp-inc,<=50K
1031,31,White,Female,Private,<=50K
1032,20,White,Male,State-gov,<=50K
1033,27,White,Male,Private,<=50K
1034,32,Black,Female,Private,<=50K
1035,76,White,Male,?,<=50K
1036,19,White,Male,?,<=50K
1037,66,White,Male,Self-emp-inc,<=50K
1038,37,White,Male,Private,<=50K
1039,34,Black,Female,Private,<=50K
1040,34,White,Female,?,<=50K
1041,90,White,Female,Private,<=50K
1042,23,Black,Female,Private,<=50K
1043,43,White,Female,Private,<=50K
1044,44,White,Male,Private,>50K
1045,24,White,Female,Private,<=50K
1046,28,White,Male,Private,<=50K
1047,64,White,Female,?,<=50K
1048,23,White,Male,Private,<=50K
1049,20,White,Female,Private,<=50K
1050,36,White,Male,Private,>50K
1051,61,White,Male,Private,<=50K
1052,53,White,Male,Self-emp-not-inc,>50K
1053,30,White,Male,Private,>50K
1054,52,White,Male,Self-emp-not-inc,>50K
1055,38,White,Male,Private,<=50K
1056,32,White,Male,Private,<=50K
1057,30,White,Male,Self-emp-not-inc,<=50K
1058,41,White,Female,Private,<=50K
1059,49,White,Male,Local-gov,>50K
1060,45,White,Male,Private,>50K
1061,43,White,Male,Self-emp-not-inc,<=50K
1062,61,White,Male,Private,<=50K
1063,54,White,Male,Private,<=50K
1064,34,White,Female,Private,<=50K
1065,49,White,Male,Private,>50K
1066,38,White,Male,Private,<=50K
1067,35,White,Male,Private,>50K
1068,36,White,Male,Private,<=50K
1069,30,White,Male,Private,<=50K
1070,36,White,Female,Private,<=50K
1071,22,White,Female,Local-gov,<=50K
1072,38,White,Male,Private,>50K
1073,37,White,Male,Private,>50K
1074,48,White,Female,State-gov,>50K
1075,17,White,Male,Private,<=50K
1076,19,White,Male,Self-emp-not-inc,<=50K
1077,27,Black,Female,Private,<=50K
1078,22,Asian-Pac-Islander,Male,Private,<=50K
1079,49,White,Male,Private,<=50K
1080,43,White,Female,State-gov,>50K
1081,43,White,Female,Private,<=50K
1082,19,White,Female,Local-gov,<=50K
1083,58,White,Male,Self-emp-not-inc,<=50K
1084,41,White,Male,Local-gov,>50K
1085,31,White,Male,Private,<=50K
1086,30,White,Male,Private,<=50K
1087,32,White,Male,Private,<=50K
1088,29,White,Male,Private,<=50K
1089,42,White,Male,Private,>50K
1090,38,White,Male,Private,<=50K
1091,41,White,Male,Federal-gov,>50K
1092,44,White,Male,Self-emp-not-inc,>50K
1093,31,Asian-Pac-Islander,Male,Private,<=50K
1094,34,White,Male,Private,<=50K
1095,21,White,Male,Private,<=50K
1096,22,Asian-Pac-Islander,Male,Self-emp-not-inc,<=50K
1097,62,White,Male,Private,<=50K
1098,19,White,Female,?,<=50K
1099,29,White,Female,Self-emp-inc,>50K
1100,43,White,Female,Private,<=50K
1101,68,White,Male,?,<=50K
1102,45,White,Male,Self-emp-inc,>50K
1103,39,White,Male,Self-emp-inc,<=50K
1104,41,Black,Male,Private,<=50K
1105,34,White,Female,Self-emp-not-inc,>50K
1106,34,White,Female,Local-gov,<=50K
1107,31,White,Male,Private,<=50K
1108,29,White,Male,Private,<=50K
1109,41,White,Male,Private,>50K
1110,41,White,Male,Private,<=50K
1111,35,White,Male,Self-emp-inc,>50K
1112,33,White,Female,Private,>50K
1113,37,White,Male,State-gov,<=50K
1114,69,White,Female,Private,<=50K
1115,34,White,Female,Private,<=50K
1116,60,White,Male,Self-emp-inc,>50K
1117,36,White,Male,Private,<=50K
1118,41,White,Male,Private,<=50K
1119,58,White,Female,Local-gov,>50K
1120,53,Asian-Pac-Islander,Male,Private,<=50K
1121,29,White,Male,Private,<=50K
1122,45,White,Female,Federal-gov,<=50K
1123,34,White,Male,State-gov,<=50K
1124,36,White,Male,Private,<=50K
1125,48,Black,Female,Private,<=50K
1126,20,White,Female,Private,<=50K
1127,35,White,Male,Private,>50K
1128,63,Black,Male,Federal-gov,<=50K
1129,41,White,Male,Self-emp-not-inc,<=50K
1130,28,White,Male,Private,<=50K
1131,30,Black,Female,Private,<=50K
1132,34,White,Female,?,<=50K
1133,31,White,Female,Private,<=50K
1134,37,White,Female,Private,<=50K
1135,42,White,Male,?,<=50K
1136,31,White,Male,Private,>50K
1137,46,White,Male,Self-emp-not-inc,>50K
1138,35,Black,Male,Federal-gov,>50K
1139,27,White,Male,Private,<=50K
1140,41,White,Male,Private,<=50K
1141,19,White,Female,Private,<=50K
1142,20,White,Male,Private,<=50K
1143,59,White,Female,Federal-gov,<=50K
1144,40,White,Male,Private,<=50K
1145,56,White,Male,Self-emp-not-inc,<=50K
1146,33,White,Male,Private,>50K
1147,30,White,Female,Self-emp-inc,<=50K
1148,46,White,Male,Private,<=50K
1149,61,White,Male,Self-emp-inc,>50K
1150,50,White,Male,Self-emp-inc,>50K
1151,25,White,Male,Private,<=50K
1152,40,White,Female,Private,<=50K
1153,24,White,Male,?,<=50K
1154,51,White,Male,Private,<=50K
1155,43,White,Male,State-gov,<=50K
1156,34,White,Male,Private,<=50K
1157,46,White,Male,Private,>50K
1158,28,White,Female,State-gov,>50K
1159,26,Asian-Pac-Islander,Male,Private,<=50K
1160,20,White,Male,Private,<=50K
1161,44,White,Male,Private,<=50K
1162,51,White,Male,Private,<=50K
1163,33,White,Male,Private,>50K
1164,54,White,Male,Private,>50K
1165,50,White,Female,Private,>50K
1166,33,Black,Female,Private,<=50K
1167,65,White,Male,Private,>50K
1168,22,White,Female,?,<=50K
1169,88,White,Male,Self-emp-not-inc,<=50K
1170,40,White,Male,Private,<=50K
1171,51,White,Female,Private,<=50K
1172,50,Black,Female,Private,<=50K
1173,25,White,Male,Private,>50K
1174,20,White,Male,Private,<=50K
1175,47,White,Male,Private,<=50K
1176,58,White,Male,?,>50K
1177,22,White,Female,Private,<=50K
1178,50,White,Male,State-gov,>50K
1179,47,White,Female,Private,<=50K
1180,24,Asian-Pac-Islander,Male,Local-gov,<=50K
1181,50,White,Male,?,>50K
1182,40,White,Female,Private,>50K
1183,36,White,Male,Private,<=50K
1184,32,White,Male,Private,<=50K
1185,44,White,Male,Private,<=50K
1186,51,White,Male,?,<=50K
1187,59,Black,Female,Federal-gov,<=50K
1188,65,White,Male,Private,<=50K
1189,24,White,Female,State-gov,<=50K
1190,27,White,Male,Local-gov,<=50K
1191,51,White,Male,Private,<=50K
1192,48,White,Male,Private,>50K
1193,39,White,Male,Private,<=50K
1194,28,White,Male,Private,<=50K
1195,19,White,Female,Private,<=50K
1196,49,Black,Female,Local-gov,<=50K
1197,51,White,Male,Local-gov,<=50K
1198,59,White,Male,Private,<=50K
1199,18,White,Female,Private,<=50K
1200,50,White,Male,Private,<=50K
1201,45,Black,Male,Federal-gov,>50K
1202,30,White,Male,Local-gov,>50K
1203,37,White,Male,Private,<=50K
1204,44,White,Male,Private,>50K
1205,33,Black,Male,Private,<=50K
1206,61,White,Male,Self-emp-inc,>50K
1207,61,White,Male,Local-gov,<=50K
1208,38,White,Male,Private,>50K
1209,22,White,Male,?,<=50K
1210,36,White,Male,Private,<=50K
1211,44,White,Male,Self-emp-inc,>50K
1212,37,White,Male,Private,<=50K
1213,31,White,Female,Private,<=50K
1214,54,White,Male,Private,>50K
1215,20,White,Male,Private,<=50K
1216,63,White,Female,?,>50K
1217,48,Amer-Indian-Eskimo,Male,Self-emp-not-inc,>50K
1218,33,Asian-Pac-Islander,Female,?,<=50K
1219,31,White,Male,Private,<=50K
1220,38,White,Male,Private,>50K
1221,45,White,Male,Self-emp-not-inc,>50K
1222,48,White,Male,Private,<=50K
1223,53,White,Male,Private,<=50K
1224,55,White,Female,Private,<=50K
1225,38,White,Male,Private,>50K
1226,29,White,Female,Private,<=50K
1227,36,White,Male,Private,>50K
1228,42,White,Male,Self-emp-not-inc,<=50K
1229,50,White,Female,Private,<=50K
1230,75,White,Male,Self-emp-not-inc,<=50K
1231,46,White,Male,Private,>50K
1232,52,White,Female,Federal-gov,<=50K
1233,27,White,Female,Private,<=50K
1234,43,White,Male,Private,<=50K
1235,31,Black,Female,Private,<=50K
1236,23,White,Female,Private,<=50K
1237,34,White,Female,Private,<=50K
1238,41,White,Female,Self-emp-not-inc,<=50K
1239,31,White,Female,Private,<=50K
1240,42,White,Female,Private,<=50K
1241,35,White,Male,Private,>50K
1242,55,White,Female,Private,<=50K
1243,36,White,Female,State-gov,<=50K
1244,65,White,Male,Self-emp-not-inc,>50K
1245,38,White,Male,Local-gov,<=50K
1246,62,White,Female,Private,<=50K
1247,54,White,Male,Self-emp-inc,>50K
1248,49,White,Male,Private,<=50K
1249,34,White,Female,Private,<=50K
1250,32,White,Female,Private,<=50K
1251,51,White,Male,Self-emp-inc,>50K
1252,48,White,Male,Self-emp-not-inc,<=50K
1253,30,White,Male,Private,<=50K
1254,52,White,Female,Federal-gov,<=50K
1255,28,White,Male,Self-emp-not-inc,<=50K
1256,29,Asian-Pac-Islander,Male,Private,<=50K
1257,38,White,Female,Private,<=50K
1258,57,White,Male,Private,>50K
1259,43,White,Male,Federal-gov,>50K
1260,37,White,Male,State-gov,<=50K
1261,30,White,Male,Private,<=50K
1262,53,White,Male,Private,>50K
1263,69,White,Female,?,<=50K
1264,73,White,Female,Private,<=50K
1265,22,White,Male,Self-emp-inc,<=50K
1266,31,White,Female,Private,<=50K
1267,38,White,Male,Private,>50K
1268,50,White,Male,Self-emp-not-inc,<=50K
1269,37,White,Male,Private,<=50K
1270,44,White,Male,Local-gov,<=50K
1271,47,Black,Female,Private,<=50K
1272,27,White,Male,Private,<=50K
1273,28,White,Female,Private,<=50K
1274,25,Black,Female,Private,<=50K
1275,20,White,Female,Private,<=50K
1276,51,White,Male,Local-gov,>50K
1277,46,White,Male,Private,>50K
1278,67,White,Male,Private,>50K
1279,47,White,Male,Private,<=50K
1280,42,White,Male,Private,<=50K
1281,52,White,Male,Private,<=50K
1282,42,Asian-Pac-Islander,Female,Federal-gov,>50K
1283,65,White,Male,?,>50K
1284,21,Black,Male,Private,<=50K
1285,50,White,Female,Private,>50K
1286,46,White,Male,Private,<=50K
1287,47,White,Male,Self-emp-not-inc,>50K
1288,57,White,Male,Private,<=50K
1289,37,White,Male,Private,<=50K
1290,50,White,Male,Private,<=50K
1291,58,White,Male,?,<=50K
1292,63,White,Female,Self-emp-not-inc,<=50K
1293,39,White,Male,Private,<=50K
1294,46,Black,Male,Private,<=50K
1295,36,White,Male,Private,<=50K
1296,26,White,Male,Private,<=50K
1297,21,White,Male,Private,<=50K
1298,41,White,Male,Private,<=50K
1299,44,Black,Male,Local-gov,<=50K
1300,22,White,Male,Private,<=50K
1301,29,Black,Male,Federal-gov,<=50K
1302,29,Black,Female,Private,<=50K
1303,58,White,Female,Self-emp-inc,>50K
1304,36,White,Male,Self-emp-not-inc,<=50K
1305,30,White,Male,Private,<=50K
1306,37,White,Male,Private,>50K
1307,29,White,Male,Private,<=50K
1308,26,White,Female,Private,<=50K
1309,43,White,Male,Private,<=50K
1310,49,White,Female,Private,>50K
1311,45,White,Male,Federal-gov,<=50K
1312,28,White,Female,Private,<=50K
1313,20,White,Female,?,<=50K
1314,51,White,Female,Private,<=50K
1315,32,White,Male,Private,>50K
1316,24,White,Female,Private,<=50K
1317,35,White,Male,Private,>50K
1318,35,White,Male,?,<=50K
1319,41,White,Male,State-gov,>50K
1320,48,White,Male,Private,>50K
1321,61,White,Female,Local-gov,<=50K
1322,20,White,Male,Private,<=50K
1323,27,White,Male,Private,>50K
1324,55,White,Male,Private,>50K
1325,39,White,Male,Private,>50K
1326,17,White,Male,?,<=50K
1327,47,White,Male,Private,<=50K
1328,52,Asian-Pac-Islander,Female,Private,>50K
1329,24,Black,Female,Private,<=50K
1330,29,Black,Female,Private,<=50K
1331,25,White,Male,Private,<=50K
1332,20,White,Female,Private,<=50K
1333,23,Black,Male,Private,<=50K
1334,57,White,Male,Private,<=50K
1335,51,White,Male,Private,>50K
1336,33,White,Female,Private,<=50K
1337,39,White,Male,Private,<=50K
1338,40,White,Male,Private,>50K
1339,71,White,Female,Private,<=50K
1340,38,White,Male,State-gov,<=50K
1341,28,White,Male,State-gov,<=50K
1342,57,White,Female,Private,<=50K
1343,47,White,Male,Private,<=50K
1344,59,White,Male,State-gov,<=50K
1345,26,Other,Male,Private,<=50K
1346,35,White,Female,Private,<=50K
1347,61,White,Male,Self-emp-inc,>50K
1348,17,White,Female,?,<=50K
1349,36,Asian-Pac-Islander,Male,Private,>50K
1350,62,White,Male,?,<=50K
1351,34,White,Male,Private,>50K
1352,32,White,Male,Self-emp-inc,>50K
1353,42,White,Female,Private,<=50K
1354,39,White,Male,Private,<=50K
1355,58,Black,Male,Private,<=50K
1356,61,White,Male,Self-emp-not-inc,>50K
1357,40,Black,Male,Private,<=50K
1358,31,White,Male,Private,<=50K
1359,36,White,Male,Private,<=50K
1360,23,White,Male,Private,<=50K
1361,33,White,Male,Private,<=50K
1362,52,White,Male,Private,>50K
1363,22,White,Female,Private,<=50K
1364,51,White,Female,Private,<=50K
1365,31,White,Female,Federal-gov,<=50K
1366,49,White,Female,Self-emp-inc,<=50K
1367,49,Black,Female,Private,<=50K
1368,53,Black,Female,Federal-gov,<=50K
1369,52,Asian-Pac-Islander,Male,Private,>50K
1370,20,White,Male,Private,<=50K
1371,26,Black,Male,Private,<=50K
1372,61,White,Male,?,<=50K
1373,43,White,Female,Private,<=50K
1374,46,White,Male,Self-emp-inc,<=50K
1375,43,White,Female,Local-gov,<=50K
1376,41,Black,Female,Private,<=50K
1377,44,White,Male,Self-emp-not-inc,<=50K
1378,54,White,Male,Private,<=50K
1379,65,White,Male,Private,>50K
1380,32,White,Female,Private,<=50K
1381,25,White,Male,Private,<=50K
1382,23,White,Male,Private,<=50K
1383,25,White,Male,Local-gov,<=50K
1384,19,White,Male,Private,<=50K
1385,37,White,Male,Self-emp-not-inc,<=50K
1386,45,White,Male,Private,<=50K
1387,37,Black,Male,Private,<=50K
1388,40,White,Male,Self-emp-not-inc,>50K
1389,19,White,Male,?,<=50K
1390,17,White,Male,Private,<=50K
1391,27,White,Female,Private,<=50K
1392,40,Black,Male,Local-gov,>50K
1393,59,White,Female,Private,<=50K
1394,19,Black,Female,Federal-gov,<=50K
1395,43,Black,Male,Private,<=50K
1396,42,White,Male,Private,>50K
1397,54,Black,Male,Private,<=50K
1398,54,White,Male,Self-emp-not-inc,<=50K
1399,51,White,Male,Private,<=50K
1400,50,White,Male,Private,>50K
1401,40,White,Female,Private,<=50K
1402,55,White,Male,Private,<=50K
1403,50,White,Female,Private,<=50K
1404,31,White,Male,Private,<=50K
1405,42,Black,Female,?,<=50K
1406,24,White,Male,Private,>50K
1407,30,White,Male,Private,<=50K
1408,39,White,Female,Local-gov,>50K
1409,37,White,Male,Private,<=50K
1410,33,White,Male,Private,<=50K
1411,48,White,Female,Private,<=50K
1412,43,Asian-Pac-Islander,Male,Self-emp-inc,<=50K
1413,39,White,Male,Private,>50K
1414,53,White,Male,Private,>50K
1415,52,White,Male,Self-emp-not-inc,<=50K
1416,28,Asian-Pac-Islander,Male,State-gov,<=50K
1417,32,White,Male,Private,<=50K
1418,31,Black,Male,Private,>50K
1419,31,White,Female,Private,>50K
1420,47,White,Female,Private,<=50K
1421,19,White,Male,?,<=50K
1422,40,Black,Male,Private,<=50K
1423,40,White,Female,Private,<=50K
1424,41,White,Male,Private,<=50K
1425,53,Black,Male,Federal-gov,<=50K
1426,46,Amer-Indian-Eskimo,Male,Private,<=50K
1427,45,White,Male,Self-emp-inc,>50K
1428,39,Black,Female,Private,<=50K
1429,19,White,Male,Private,<=50K
1430,57,White,Male,Private,>50K
1431,49,White,Female,Private,<=50K
1432,59,White,Female,Private,<=50K
1433,32,White,Male,Private,>50K
1434,18,White,Female,?,<=50K
1435,35,Black,Male,State-gov,<=50K
1436,58,White,Female,Self-emp-inc,<=50K
1437,28,White,Male,Private,<=50K
1438,36,White,Female,Federal-gov,>50K
1439,41,White,Female,Self-emp-not-inc,<=50K
1440,47,White,Male,Private,>50K
1441,50,White,Male,Self-emp-inc,<=50K
1442,61,White,Male,?,<=50K
1443,36,White,Male,Private,>50K
1444,38,White,Male,Private,<=50K
1445,56,White,Male,Self-emp-not-inc,>50K
1446,50,White,Male,Private,<=50K
1447,45,White,Male,Self-emp-not-inc,<=50K
1448,44,White,Male,Self-emp-not-inc,<=50K
1449,51,White,Male,Private,>50K
1450,44,White,Male,Self-emp-inc,>50K
1451,25,White,Male,Private,<=50K
1452,60,Black,Male,Private,<=50K
1453,17,White,Male,?,<=50K
1454,49,White,Male,Self-emp-inc,>50K
1455,46,Black,Male,Private,>50K
1456,56,Black,Female,Private,<=50K
1457,25,White,Male,Private,<=50K
1458,22,White,Male,Private,<=50K
1459,76,Black,Female,?,<=50K
1460,41,White,Male,Self-emp-inc,>50K
1461,48,White,Male,Self-emp-inc,>50K
1462,46,Black,Male,Private,<=50K
1463,30,White,Male,Private,>50K
1464,39,White,Male,Private,>50K
1465,40,Amer-Indian-Eskimo,Male,Private,<=50K
1466,70,Black,Male,Federal-gov,<=50K
1467,35,White,Male,Private,<=50K
1468,49,White,Female,Private,<=50K
1469,24,White,Male,Private,<=50K
1470,40,White,Male,Private,>50K
1471,61,White,Male,Private,>50K
1472,25,Asian-Pac-Islander,Male,Private,<=50K
1473,28,White,Female,Local-gov,<=50K
1474,69,White,Male,State-gov,<=50K
1475,22,White,Female,Private,<=50K
1476,47,White,Male,Private,<=50K
1477,38,White,Female,Private,<=50K
1478,26,White,Female,Private,<=50K
1479,17,Asian-Pac-Islander,Female,Private,<=50K
1480,33,White,Male,Self-emp-not-inc,<=50K
1481,43,White,Male,Self-emp-not-inc,<=50K
1482,58,White,Male,Private,>50K
1483,53,White,Male,Self-emp-inc,>50K
1484,26,White,Male,Private,<=50K
1485,43,Black,Male,Local-gov,>50K
1486,31,White,Male,Private,<=50K
