id,DAYS_BIRTH,OCCUPATION_TYPE,NAME_INCOME_TYPE,NAME_EDUCATION_TYPE,prediction
3037,-19042,"",Working,Secondary / secondary special,0.0
3038,-19042,"",Working,Secondary / secondary special,0.0
3039,-19042,"",Working,Secondary / secondary special,0.0
3040,-19042,"",Working,Secondary / secondary special,0.0
3041,-10815,Sales staff,Working,Secondary / secondary special,1.0
3042,-10815,Sales staff,Working,Secondary / secondary special,1.0
3043,-11373,Managers,Commercial associate,Higher education,1.0
3044,-11373,Managers,Commercial associate,Higher education,1.0
3045,-11373,Managers,Commercial associate,Higher education,1.0
3046,-11373,Managers,Commercial associate,Higher education,1.0
3047,-21503,Core staff,Commercial associate,Higher education,1.0
3048,-21503,Core staff,Commercial associate,Higher education,1.0
3049,-21503,Core staff,Commercial associate,Higher education,1.0
3050,-21503,Core staff,Commercial associate,Higher education,1.0
3051,-21503,Core staff,Commercial associate,Higher education,1.0
3052,-21503,Core staff,Commercial associate,Higher education,1.0
3053,-21503,Core staff,Commercial associate,Higher education,1.0
3054,-21503,Core staff,Commercial associate,Higher education,1.0
3055,-21503,Core staff,Commercial associate,Higher education,1.0
3056,-21503,Core staff,Commercial associate,Higher education,1.0
3057,-21503,Core staff,Commercial associate,Higher education,1.0
3058,-21503,Core staff,Commercial associate,Higher education,1.0
3059,-21503,Core staff,Commercial associate,Higher education,1.0
3060,-9655,"",Working,Secondary / secondary special,0.0
3061,-9655,"",Working,Secondary / secondary special,0.0
3062,-9655,"",Working,Secondary / secondary special,0.0
3063,-16200,Core staff,State servant,Higher education,1.0
3064,-16200,Core staff,State servant,Higher education,1.0
3065,-23498,"",Pensioner,Secondary / secondary special,1.0
3066,-20693,Core staff,Working,Secondary / secondary special,0.0
3067,-20693,Core staff,Working,Secondary / secondary special,0.0
3068,-20693,Core staff,Working,Secondary / secondary special,0.0
3069,-20693,Core staff,Working,Secondary / secondary special,0.0
3070,-20693,Core staff,Working,Secondary / secondary special,0.0
3071,-20693,Core staff,Working,Secondary / secondary special,0.0
3072,-20693,Core staff,Working,Secondary / secondary special,0.0
3073,-20693,Core staff,Working,Secondary / secondary special,0.0
3074,-20693,Core staff,Working,Secondary / secondary special,0.0
3075,-20693,Core staff,Working,Secondary / secondary special,0.0
3076,-20693,Core staff,Working,Secondary / secondary special,0.0
3077,-20693,Core staff,Working,Secondary / secondary special,0.0
3078,-22739,"",Pensioner,Secondary / secondary special,0.0
3079,-11172,Laborers,Working,Incomplete higher,1.0
3080,-11172,Laborers,Working,Incomplete higher,1.0
3081,-11172,Laborers,Working,Incomplete higher,1.0
3082,-11172,Laborers,Working,Incomplete higher,1.0
3083,-11172,Laborers,Working,Incomplete higher,1.0
3084,-11172,Laborers,Working,Incomplete higher,1.0
3085,-17536,Sales staff,Working,Secondary / secondary special,1.0
3086,-17536,Sales staff,Working,Secondary / secondary special,1.0
3087,-21594,Laborers,Commercial associate,Higher education,1.0
3088,-21594,Laborers,Commercial associate,Higher education,1.0
3089,-21594,Laborers,Commercial associate,Higher education,1.0
3090,-21594,Laborers,Commercial associate,Higher education,1.0
3091,-21594,Laborers,Commercial associate,Higher education,1.0
3092,-21594,Laborers,Commercial associate,Higher education,1.0
3093,-8738,Sales staff,Working,Secondary / secondary special,1.0
3094,-8738,Sales staff,Working,Secondary / secondary special,1.0
3095,-21899,"",Pensioner,Higher education,0.0
3096,-21899,"",Pensioner,Higher education,0.0
3097,-21899,"",Pensioner,Higher education,0.0
3098,-21899,"",Pensioner,Higher education,0.0
3099,-21899,"",Pensioner,Higher education,0.0
3100,-21899,"",Pensioner,Higher education,0.0
3101,-21899,"",Pensioner,Higher education,0.0
3102,-21899,"",Pensioner,Higher education,0.0
3103,-21899,"",Pensioner,Higher education,0.0
3104,-21899,"",Pensioner,Higher education,0.0
3105,-21899,"",Pensioner,Higher education,0.0
3106,-21899,"",Pensioner,Higher education,0.0
3107,-21899,"",Pensioner,Higher education,0.0
3108,-21899,"",Pensioner,Higher education,0.0
3109,-21899,"",Pensioner,Higher education,0.0
3110,-21899,"",Pensioner,Higher education,0.0
3111,-10845,High skill tech staff,Working,Higher education,1.0
3112,-10845,High skill tech staff,Working,Higher education,1.0
3113,-10845,High skill tech staff,Working,Higher education,1.0
3114,-10845,High skill tech staff,Working,Higher education,1.0
3115,-10845,High skill tech staff,Working,Higher education,1.0
3116,-10845,High skill tech staff,Working,Higher education,1.0
3117,-10845,High skill tech staff,Working,Higher education,1.0
3118,-19187,Cooking staff,Working,Secondary / secondary special,1.0
3119,-19187,Cooking staff,Working,Secondary / secondary special,1.0
3120,-19187,Cooking staff,Working,Secondary / secondary special,1.0
3121,-19187,Cooking staff,Working,Secondary / secondary special,1.0
3122,-16569,Laborers,Working,Secondary / secondary special,1.0
3123,-21412,"",Pensioner,Secondary / secondary special,0.0
3124,-21412,"",Pensioner,Secondary / secondary special,0.0
3125,-21412,"",Pensioner,Secondary / secondary special,0.0
3126,-21412,"",Pensioner,Secondary / secondary special,0.0
3127,-21412,"",Pensioner,Secondary / secondary special,0.0
3128,-21412,"",Pensioner,Secondary / secondary special,0.0
3129,-21412,"",Pensioner,Secondary / secondary special,0.0
3130,-21412,"",Pensioner,Secondary / secondary special,0.0
3131,-11470,Sales staff,Working,Secondary / secondary special,1.0
3132,-11470,Sales staff,Working,Secondary / secondary special,1.0
3133,-17927,Laborers,Commercial associate,Secondary / secondary special,1.0
3134,-10614,Sales staff,Commercial associate,Secondary / secondary special,1.0
3135,-10614,Sales staff,Commercial associate,Secondary / secondary special,1.0
3136,-15914,Sales staff,Commercial associate,Secondary / secondary special,1.0
3137,-15914,Sales staff,Commercial associate,Secondary / secondary special,1.0
3138,-15914,Sales staff,Commercial associate,Secondary / secondary special,1.0
3139,-15914,Sales staff,Commercial associate,Secondary / secondary special,1.0
3140,-15914,Sales staff,Commercial associate,Secondary / secondary special,1.0
3141,-15914,Sales staff,Commercial associate,Secondary / secondary special,1.0
3142,-15914,Sales staff,Commercial associate,Secondary / secondary special,1.0
3143,-15914,Sales staff,Commercial associate,Secondary / secondary special,1.0
3144,-17570,Core staff,Working,Secondary / secondary special,1.0
3145,-17570,Core staff,Working,Secondary / secondary special,1.0
3146,-17570,Core staff,Working,Secondary / secondary special,1.0
3147,-17570,Core staff,Working,Secondary / secondary special,1.0
3148,-17570,Core staff,Working,Secondary / secondary special,1.0
3149,-8696,Drivers,Working,Secondary / secondary special,0.0
3150,-8696,Drivers,Working,Secondary / secondary special,0.0
3151,-8696,Drivers,Working,Secondary / secondary special,0.0
3152,-8696,Drivers,Working,Secondary / secondary special,0.0
3153,-8696,Drivers,Working,Secondary / secondary special,0.0
3154,-8696,Drivers,Working,Secondary / secondary special,0.0
3155,-14173,Security staff,Working,Secondary / secondary special,0.0
3156,-14173,Security staff,Working,Secondary / secondary special,0.0
3157,-17309,"",State servant,Secondary / secondary special,0.0
3158,-17309,"",State servant,Secondary / secondary special,0.0
3159,-17309,"",State servant,Secondary / secondary special,0.0
3160,-17309,"",State servant,Secondary / secondary special,0.0
3161,-17309,"",State servant,Secondary / secondary special,0.0
3162,-17309,"",State servant,Secondary / secondary special,0.0
3163,-17309,"",State servant,Secondary / secondary special,0.0
3164,-17309,"",State servant,Secondary / secondary special,0.0
3165,-17309,"",State servant,Secondary / secondary special,0.0
3166,-17309,"",State servant,Secondary / secondary special,0.0
3167,-17309,"",State servant,Secondary / secondary special,0.0
3168,-17309,"",State servant,Secondary / secondary special,0.0
3169,-13038,"",Working,Incomplete higher,0.0
3170,-13038,"",Working,Incomplete higher,0.0
3171,-13038,"",Working,Incomplete higher,0.0
3172,-13038,"",Working,Incomplete higher,0.0
3173,-13038,"",Working,Incomplete higher,0.0
3174,-13038,"",Working,Incomplete higher,0.0
3175,-8145,"",Pensioner,Secondary / secondary special,0.0
3176,-16951,"",Working,Secondary / secondary special,0.0
3177,-16951,"",Working,Secondary / secondary special,0.0
3178,-16951,"",Working,Secondary / secondary special,0.0
3179,-16951,"",Working,Secondary / secondary special,0.0
3180,-16951,"",Working,Secondary / secondary special,0.0
3181,-16951,"",Working,Secondary / secondary special,0.0
3182,-16951,"",Working,Secondary / secondary special,0.0
3183,-16951,"",Working,Secondary / secondary special,0.0
3184,-16951,"",Working,Secondary / secondary special,0.0
3185,-14166,Medicine staff,State servant,Secondary / secondary special,0.0
3186,-14166,Medicine staff,State servant,Secondary / secondary special,0.0
3187,-14166,Medicine staff,State servant,Secondary / secondary special,0.0
3188,-14166,Medicine staff,State servant,Secondary / secondary special,0.0
3189,-14166,Medicine staff,State servant,Secondary / secondary special,0.0
3190,-14166,Medicine staff,State servant,Secondary / secondary special,0.0
3191,-14166,Medicine staff,State servant,Secondary / secondary special,0.0
3192,-14166,Medicine staff,State servant,Secondary / secondary special,0.0
3193,-14166,Medicine staff,State servant,Secondary / secondary special,0.0
3194,-14166,Medicine staff,State servant,Secondary / secondary special,0.0
3195,-14166,Medicine staff,State servant,Secondary / secondary special,0.0
3196,-14166,Medicine staff,State servant,Secondary / secondary special,0.0
3197,-16722,Managers,Commercial associate,Higher education,1.0
3198,-16722,Managers,Commercial associate,Higher education,1.0
3199,-16722,Managers,Commercial associate,Higher education,1.0
3200,-23570,"",Pensioner,Secondary / secondary special,0.0
3201,-23570,"",Pensioner,Secondary / secondary special,0.0
3202,-23570,"",Pensioner,Secondary / secondary special,0.0
3203,-23570,"",Pensioner,Secondary / secondary special,0.0
3204,-23570,"",Pensioner,Secondary / secondary special,0.0
3205,-23570,"",Pensioner,Secondary / secondary special,0.0
3206,-15688,Drivers,Working,Secondary / secondary special,1.0
3207,-15688,Drivers,Working,Secondary / secondary special,1.0
3208,-20692,"",Pensioner,Secondary / secondary special,0.0
3209,-20692,"",Pensioner,Secondary / secondary special,0.0
3210,-20692,"",Pensioner,Secondary / secondary special,0.0
3211,-20692,"",Pensioner,Secondary / secondary special,0.0
3212,-20692,"",Pensioner,Secondary / secondary special,0.0
3213,-20692,"",Pensioner,Secondary / secondary special,0.0
3214,-23484,"",Pensioner,Secondary / secondary special,0.0
3215,-23484,"",Pensioner,Secondary / secondary special,0.0
3216,-23484,"",Pensioner,Secondary / secondary special,0.0
3217,-23484,"",Pensioner,Secondary / secondary special,0.0
3218,-18630,Laborers,Working,Secondary / secondary special,1.0
3219,-18630,Laborers,Working,Secondary / secondary special,1.0
3220,-18630,Laborers,Working,Secondary / secondary special,1.0
3221,-10724,High skill tech staff,Working,Higher education,1.0
3222,-10724,High skill tech staff,Working,Higher education,1.0
3223,-13163,Laborers,Working,Secondary / secondary special,1.0
3224,-13163,Laborers,Working,Secondary / secondary special,1.0
3225,-11984,Core staff,Commercial associate,Higher education,1.0
3226,-11984,Core staff,Commercial associate,Higher education,1.0
3227,-11984,Core staff,Commercial associate,Higher education,1.0
3228,-11984,Core staff,Commercial associate,Higher education,1.0
3229,-11984,Core staff,Commercial associate,Higher education,1.0
3230,-11984,Core staff,Commercial associate,Higher education,1.0
3231,-11984,Core staff,Commercial associate,Higher education,1.0
3232,-11984,Core staff,Commercial associate,Higher education,1.0
3233,-11984,Core staff,Commercial associate,Higher education,1.0
3234,-11984,Core staff,Commercial associate,Higher education,1.0
3235,-11234,Sales staff,Working,Higher education,1.0
3236,-11234,Sales staff,Working,Higher education,1.0
3237,-11234,Sales staff,Working,Higher education,1.0
3238,-11234,Sales staff,Working,Higher education,1.0
3239,-11234,Sales staff,Working,Higher education,1.0
3240,-13071,Sales staff,Working,Higher education,1.0
3241,-13071,Sales staff,Working,Higher education,1.0
3242,-13071,Sales staff,Working,Higher education,1.0
3243,-13071,Sales staff,Working,Higher education,1.0
3244,-13071,Sales staff,Working,Higher education,1.0
3245,-13071,Sales staff,Working,Higher education,1.0
3246,-13071,Sales staff,Working,Higher education,1.0
3247,-13071,Sales staff,Working,Higher education,1.0
3248,-13071,Sales staff,Working,Higher education,1.0
3249,-13071,Sales staff,Working,Higher education,1.0
3250,-13071,Sales staff,Working,Higher education,1.0
3251,-14836,Security staff,Working,Secondary / secondary special,0.0
3252,-14836,Security staff,Working,Secondary / secondary special,0.0
3253,-21721,"",Pensioner,Higher education,0.0
3254,-21721,"",Pensioner,Higher education,0.0
3255,-21721,"",Pensioner,Higher education,0.0
3256,-8533,Laborers,Working,Secondary / secondary special,1.0
3257,-8533,Laborers,Working,Secondary / secondary special,1.0
3258,-8533,Laborers,Working,Secondary / secondary special,1.0
3259,-8533,Laborers,Working,Secondary / secondary special,1.0
3260,-17803,Core staff,Working,Secondary / secondary special,1.0
3261,-17803,Core staff,Working,Secondary / secondary special,1.0
3262,-17803,Core staff,Working,Secondary / secondary special,1.0
3263,-17803,Core staff,Working,Secondary / secondary special,1.0
3264,-17803,Core staff,Working,Secondary / secondary special,1.0
3265,-17803,Core staff,Working,Secondary / secondary special,1.0
3266,-17803,Core staff,Working,Secondary / secondary special,1.0
3267,-17803,Core staff,Working,Secondary / secondary special,1.0
3268,-17803,Core staff,Working,Secondary / secondary special,1.0
3269,-13435,Secretaries,Working,Higher education,0.0
3270,-13435,Secretaries,Working,Higher education,0.0
3271,-13435,Secretaries,Working,Higher education,0.0
3272,-13435,Secretaries,Working,Higher education,0.0
3273,-13435,Secretaries,Working,Higher education,0.0
3274,-13435,Secretaries,Working,Higher education,0.0
3275,-13435,Secretaries,Working,Higher education,0.0
3276,-13435,Secretaries,Working,Higher education,0.0
3277,-13435,Secretaries,Working,Higher education,0.0
3278,-13435,Secretaries,Working,Higher education,0.0
3279,-13263,Managers,Working,Higher education,1.0
3280,-13263,Managers,Working,Higher education,1.0
3281,-13263,Managers,Working,Higher education,1.0
3282,-13263,Managers,Working,Higher education,1.0
3283,-13263,Managers,Working,Higher education,1.0
3284,-8603,Core staff,Commercial associate,Secondary / secondary special,1.0
3285,-8603,Core staff,Commercial associate,Secondary / secondary special,1.0
3286,-10144,Laborers,Working,Secondary / secondary special,1.0
3287,-10144,Laborers,Working,Secondary / secondary special,1.0
3288,-10144,Laborers,Working,Secondary / secondary special,1.0
3289,-10144,Laborers,Working,Secondary / secondary special,1.0
3290,-10144,Laborers,Working,Secondary / secondary special,1.0
3291,-12022,Laborers,Commercial associate,Secondary / secondary special,1.0
3292,-12022,Laborers,Commercial associate,Secondary / secondary special,1.0
3293,-12022,Laborers,Commercial associate,Secondary / secondary special,1.0
3294,-12022,Laborers,Commercial associate,Secondary / secondary special,1.0
3295,-12022,Laborers,Commercial associate,Secondary / secondary special,1.0
3296,-12022,Laborers,Commercial associate,Secondary / secondary special,1.0
3297,-12118,Core staff,State servant,Higher education,1.0
3298,-12118,Core staff,State servant,Higher education,1.0
3299,-12118,Core staff,State servant,Higher education,1.0
3300,-12118,Core staff,State servant,Higher education,1.0
3301,-12118,Core staff,State servant,Higher education,1.0
3302,-12118,Core staff,State servant,Higher education,1.0
3303,-12118,Core staff,State servant,Higher education,1.0
3304,-12118,Core staff,State servant,Higher education,1.0
3305,-20404,"",Working,Secondary / secondary special,0.0
3306,-20404,"",Working,Secondary / secondary special,0.0
3307,-20404,"",Working,Secondary / secondary special,0.0
3308,-20404,"",Working,Secondary / secondary special,0.0
3309,-20404,"",Working,Secondary / secondary special,0.0
3310,-20404,"",Working,Secondary / secondary special,0.0
3311,-20404,"",Working,Secondary / secondary special,0.0
3312,-20404,"",Working,Secondary / secondary special,0.0
3313,-11185,Medicine staff,Working,Secondary / secondary special,1.0
3314,-11185,Medicine staff,Working,Secondary / secondary special,1.0
3315,-11185,Medicine staff,Working,Secondary / secondary special,1.0
3316,-11185,Medicine staff,Working,Secondary / secondary special,1.0
3317,-11759,Managers,Commercial associate,Higher education,1.0
3318,-11759,Managers,Commercial associate,Higher education,1.0
3319,-11759,Managers,Commercial associate,Higher education,1.0
3320,-11759,Managers,Commercial associate,Higher education,1.0
3321,-11759,Managers,Commercial associate,Higher education,1.0
3322,-11759,Managers,Commercial associate,Higher education,1.0
3323,-11759,Managers,Commercial associate,Higher education,1.0
3324,-17972,Sales staff,Working,Secondary / secondary special,1.0
3325,-17972,Sales staff,Working,Secondary / secondary special,1.0
3326,-17972,Sales staff,Working,Secondary / secondary special,1.0
3327,-22060,"",Pensioner,Secondary / secondary special,0.0
3328,-22060,"",Pensioner,Secondary / secondary special,0.0
3329,-22060,"",Pensioner,Secondary / secondary special,0.0
3330,-22060,"",Pensioner,Secondary / secondary special,0.0
3331,-13810,Private service staff,Commercial associate,Secondary / secondary special,1.0
3332,-13810,Private service staff,Commercial associate,Secondary / secondary special,1.0
3333,-13810,Private service staff,Commercial associate,Secondary / secondary special,1.0
3334,-14858,Cleaning staff,Working,Secondary / secondary special,1.0
3335,-9862,Laborers,Commercial associate,Secondary / secondary special,1.0
3336,-9862,Laborers,Commercial associate,Secondary / secondary special,1.0
3337,-9862,Laborers,Commercial associate,Secondary / secondary special,1.0
3338,-9862,Laborers,Commercial associate,Secondary / secondary special,1.0
3339,-9862,Laborers,Commercial associate,Secondary / secondary special,1.0
3340,-9862,Laborers,Commercial associate,Secondary / secondary special,1.0
3341,-9862,Laborers,Commercial associate,Secondary / secondary special,1.0
3342,-9862,Laborers,Commercial associate,Secondary / secondary special,1.0
3343,-9862,Laborers,Commercial associate,Secondary / secondary special,1.0
3344,-9862,Laborers,Commercial associate,Secondary / secondary special,1.0
3345,-9862,Laborers,Commercial associate,Secondary / secondary special,1.0
3346,-14421,Accountants,Commercial associate,Higher education,1.0
3347,-14421,Accountants,Commercial associate,Higher education,1.0
3348,-23286,"",Pensioner,Secondary / secondary special,0.0
3349,-23286,"",Pensioner,Secondary / secondary special,0.0
3350,-19380,"",Pensioner,Higher education,1.0
3351,-19380,"",Pensioner,Higher education,1.0
3352,-14309,Sales staff,Working,Secondary / secondary special,1.0
3353,-14309,Sales staff,Working,Secondary / secondary special,1.0
3354,-14309,Sales staff,Working,Secondary / secondary special,1.0
3355,-15903,Sales staff,Commercial associate,Secondary / secondary special,1.0
3356,-15903,Sales staff,Commercial associate,Secondary / secondary special,1.0
3357,-15903,Sales staff,Commercial associate,Secondary / secondary special,1.0
3358,-15903,Sales staff,Commercial associate,Secondary / secondary special,1.0
3359,-10669,Laborers,Working,Incomplete higher,1.0
3360,-10669,Laborers,Working,Incomplete higher,1.0
3361,-20763,"",Pensioner,Secondary / secondary special,0.0
3362,-20763,"",Pensioner,Secondary / secondary special,0.0
3363,-14064,Drivers,Working,Secondary / secondary special,1.0
3364,-14064,Drivers,Working,Secondary / secondary special,1.0
3365,-14064,Drivers,Working,Secondary / secondary special,1.0
3366,-14064,Drivers,Working,Secondary / secondary special,1.0
3367,-14064,Drivers,Working,Secondary / secondary special,1.0
3368,-14064,Drivers,Working,Secondary / secondary special,1.0
3369,-14064,Drivers,Working,Secondary / secondary special,1.0
3370,-14064,Drivers,Working,Secondary / secondary special,1.0
3371,-23406,Security staff,Working,Secondary / secondary special,0.0
3372,-23406,Security staff,Working,Secondary / secondary special,0.0
3373,-23406,Security staff,Working,Secondary / secondary special,0.0
3374,-23406,Security staff,Working,Secondary / secondary special,0.0
3375,-23406,Security staff,Working,Secondary / secondary special,0.0
3376,-23406,Security staff,Working,Secondary / secondary special,0.0
3377,-23406,Security staff,Working,Secondary / secondary special,0.0
3378,-23406,Security staff,Working,Secondary / secondary special,0.0
3379,-23406,Security staff,Working,Secondary / secondary special,0.0
3380,-15202,Drivers,Working,Secondary / secondary special,1.0
3381,-15202,Drivers,Working,Secondary / secondary special,1.0
3382,-15202,Drivers,Working,Secondary / secondary special,1.0
3383,-15202,Drivers,Working,Secondary / secondary special,1.0
3384,-15262,Managers,Commercial associate,Secondary / secondary special,1.0
3385,-15262,Managers,Commercial associate,Secondary / secondary special,1.0
3386,-21289,"",Pensioner,Secondary / secondary special,0.0
3387,-21289,"",Pensioner,Secondary / secondary special,0.0
3388,-21289,"",Pensioner,Secondary / secondary special,0.0
3389,-21289,"",Pensioner,Secondary / secondary special,0.0
3390,-21289,"",Pensioner,Secondary / secondary special,0.0
3391,-21289,"",Pensioner,Secondary / secondary special,0.0
3392,-21289,"",Pensioner,Secondary / secondary special,0.0
3393,-9791,Sales staff,Working,Secondary / secondary special,1.0
3394,-9791,Sales staff,Working,Secondary / secondary special,1.0
3395,-9791,Sales staff,Working,Secondary / secondary special,1.0
3396,-9791,Sales staff,Working,Secondary / secondary special,1.0
3397,-9791,Sales staff,Working,Secondary / secondary special,1.0
3398,-9791,Sales staff,Working,Secondary / secondary special,1.0
3399,-9791,Sales staff,Working,Secondary / secondary special,1.0
3400,-9791,Sales staff,Working,Secondary / secondary special,1.0
3401,-10800,Sales staff,Commercial associate,Secondary / secondary special,1.0
3402,-10800,Sales staff,Commercial associate,Secondary / secondary special,1.0
3403,-10800,Sales staff,Commercial associate,Secondary / secondary special,1.0
3404,-10800,Sales staff,Commercial associate,Secondary / secondary special,1.0
3405,-10800,Sales staff,Commercial associate,Secondary / secondary special,1.0
3406,-10800,Sales staff,Commercial associate,Secondary / secondary special,1.0
3407,-10800,Sales staff,Commercial associate,Secondary / secondary special,1.0
3408,-10800,Sales staff,Commercial associate,Secondary / secondary special,1.0
3409,-10800,Sales staff,Commercial associate,Secondary / secondary special,1.0
3410,-10800,Sales staff,Commercial associate,Secondary / secondary special,1.0
3411,-10800,Sales staff,Commercial associate,Secondary / secondary special,1.0
3412,-10800,Sales staff,Commercial associate,Secondary / secondary special,1.0
3413,-10800,Sales staff,Commercial associate,Secondary / secondary special,1.0
3414,-10800,Sales staff,Commercial associate,Secondary / secondary special,1.0
3415,-11366,Core staff,State servant,Secondary / secondary special,1.0
3416,-13847,Medicine staff,Working,Secondary / secondary special,0.0
3417,-13847,Medicine staff,Working,Secondary / secondary special,0.0
3418,-13847,Medicine staff,Working,Secondary / secondary special,0.0
3419,-13847,Medicine staff,Working,Secondary / secondary special,0.0
3420,-13847,Medicine staff,Working,Secondary / secondary special,0.0
3421,-13847,Medicine staff,Working,Secondary / secondary special,0.0
3422,-13847,Medicine staff,Working,Secondary / secondary special,0.0
3423,-13847,Medicine staff,Working,Secondary / secondary special,0.0
3424,-13847,Medicine staff,Working,Secondary / secondary special,0.0
3425,-22964,"",Pensioner,Higher education,0.0
3426,-22964,"",Pensioner,Higher education,0.0
3427,-22964,"",Pensioner,Higher education,0.0
3428,-22964,"",Pensioner,Higher education,0.0
3429,-13127,Managers,Working,Higher education,1.0
3430,-13127,Managers,Working,Higher education,1.0
3431,-13127,Managers,Working,Higher education,1.0
3432,-13127,Managers,Working,Higher education,1.0
3433,-12369,Core staff,Working,Secondary / secondary special,1.0
3434,-12369,Core staff,Working,Secondary / secondary special,1.0
3435,-11998,Managers,Working,Higher education,1.0
3436,-11998,Managers,Working,Higher education,1.0
3437,-11998,Managers,Working,Higher education,1.0
3438,-11998,Managers,Working,Higher education,1.0
3439,-11998,Managers,Working,Higher education,1.0
3440,-11998,Managers,Working,Higher education,1.0
3441,-11998,Managers,Working,Higher education,1.0
3442,-11998,Managers,Working,Higher education,1.0
3443,-11998,Managers,Working,Higher education,1.0
3444,-11998,Managers,Working,Higher education,1.0
3445,-11998,Managers,Working,Higher education,1.0
3446,-11998,Managers,Working,Higher education,1.0
3447,-11998,Managers,Working,Higher education,1.0
3448,-11900,Sales staff,Working,Higher education,1.0
3449,-11900,Sales staff,Working,Higher education,1.0
3450,-7723,Sales staff,Commercial associate,Secondary / secondary special,1.0
3451,-7723,Sales staff,Commercial associate,Secondary / secondary special,1.0
3452,-8477,Laborers,Commercial associate,Secondary / secondary special,1.0
3453,-8477,Laborers,Commercial associate,Secondary / secondary special,1.0
3454,-8477,Laborers,Commercial associate,Secondary / secondary special,1.0
3455,-8477,Laborers,Commercial associate,Secondary / secondary special,1.0
3456,-8477,Laborers,Commercial associate,Secondary / secondary special,1.0
3457,-8477,Laborers,Commercial associate,Secondary / secondary special,1.0
3458,-17262,Core staff,Working,Secondary / secondary special,0.0
3459,-17262,Core staff,Working,Secondary / secondary special,0.0
3460,-17262,Core staff,Working,Secondary / secondary special,0.0
3461,-17262,Core staff,Working,Secondary / secondary special,0.0
3462,-17262,Core staff,Working,Secondary / secondary special,0.0
3463,-17262,Core staff,Working,Secondary / secondary special,0.0
3464,-17262,Core staff,Working,Secondary / secondary special,0.0
3465,-17262,Core staff,Working,Secondary / secondary special,0.0
3466,-17262,Core staff,Working,Secondary / secondary special,0.0
3467,-17262,Core staff,Working,Secondary / secondary special,0.0
3468,-17262,Core staff,Working,Secondary / secondary special,0.0
3469,-17262,Core staff,Working,Secondary / secondary special,0.0
3470,-17262,Core staff,Working,Secondary / secondary special,0.0
3471,-17262,Core staff,Working,Secondary / secondary special,0.0
3472,-17262,Core staff,Working,Secondary / secondary special,0.0
3473,-12494,Laborers,Commercial associate,Secondary / secondary special,1.0
3474,-12494,Laborers,Commercial associate,Secondary / secondary special,1.0
3475,-12494,Laborers,Commercial associate,Secondary / secondary special,1.0
3476,-12494,Laborers,Commercial associate,Secondary / secondary special,1.0
3477,-12494,Laborers,Commercial associate,Secondary / secondary special,1.0
3478,-12494,Laborers,Commercial associate,Secondary / secondary special,1.0
3479,-12494,Laborers,Commercial associate,Secondary / secondary special,1.0
3480,-12494,Laborers,Commercial associate,Secondary / secondary special,1.0
3481,-12494,Laborers,Commercial associate,Secondary / secondary special,1.0
3482,-12494,Laborers,Commercial associate,Secondary / secondary special,1.0
3483,-12494,Laborers,Commercial associate,Secondary / secondary special,1.0
3484,-12494,Laborers,Commercial associate,Secondary / secondary special,1.0
3485,-18902,Managers,Working,Higher education,1.0
3486,-18902,Managers,Working,Higher education,1.0
3487,-18902,Managers,Working,Higher education,1.0
3488,-18902,Managers,Working,Higher education,1.0
3489,-18902,Managers,Working,Higher education,1.0
3490,-19586,Managers,Working,Higher education,1.0
3491,-19586,Managers,Working,Higher education,1.0
3492,-16616,Core staff,Working,Higher education,1.0
3493,-16616,Core staff,Working,Higher education,1.0
3494,-16616,Core staff,Working,Higher education,1.0
3495,-13621,Accountants,Working,Secondary / secondary special,0.0
3496,-14100,Private service staff,Commercial associate,Higher education,0.0
3497,-14100,Private service staff,Commercial associate,Higher education,0.0
3498,-14100,Private service staff,Commercial associate,Higher education,0.0
3499,-14100,Private service staff,Commercial associate,Higher education,0.0
3500,-14100,Private service staff,Commercial associate,Higher education,0.0
3501,-14100,Private service staff,Commercial associate,Higher education,0.0
3502,-14100,Private service staff,Commercial associate,Higher education,0.0
3503,-14100,Private service staff,Commercial associate,Higher education,0.0
3504,-14100,Private service staff,Commercial associate,Higher education,0.0
3505,-14100,Private service staff,Commercial associate,Higher education,0.0
3506,-14100,Private service staff,Commercial associate,Higher education,0.0
3507,-14100,Private service staff,Commercial associate,Higher education,0.0
3508,-14100,Private service staff,Commercial associate,Higher education,0.0
3509,-14100,Private service staff,Commercial associate,Higher education,0.0
3510,-14100,Private service staff,Commercial associate,Higher education,0.0
3511,-14100,Private service staff,Commercial associate,Higher education,0.0
3512,-14100,Private service staff,Commercial associate,Higher education,0.0
3513,-14100,Private service staff,Commercial associate,Higher education,0.0
3514,-16314,Managers,Working,Secondary / secondary special,0.0
3515,-16314,Managers,Working,Secondary / secondary special,0.0
3516,-16314,Managers,Working,Secondary / secondary special,0.0
3517,-16314,Managers,Working,Secondary / secondary special,0.0
3518,-16314,Managers,Working,Secondary / secondary special,0.0
3519,-16314,Managers,Working,Secondary / secondary special,0.0
3520,-16314,Managers,Working,Secondary / secondary special,0.0
3521,-16314,Managers,Working,Secondary / secondary special,0.0
3522,-16314,Managers,Working,Secondary / secondary special,0.0
3523,-16314,Managers,Working,Secondary / secondary special,0.0
3524,-16314,Managers,Working,Secondary / secondary special,0.0
3525,-16314,Managers,Working,Secondary / secondary special,0.0
3526,-16314,Managers,Working,Secondary / secondary special,0.0
