id,DAYS_BIRTH,DAYS_EMPLOYED,OCCUPATION_TYPE,CODE_GENDER,NAME_INCOME_TYPE,NAME_EDUCATION_TYPE,NAME_FAMILY_STATUS,NAME_HOUSING_TYPE,AMT_INCOME_TOTAL,Cluster
4189,-11736,-1816,Cooking staff,F,Working,Secondary / secondary special,Married,House / apartment,117000,Cluster 10
4251,-11454,-1604,Drivers,M,Commercial associate,Secondary / secondary special,Married,House / apartment,157500,Cluster 10
4317,-15191,-1748,Core staff,M,Commercial associate,Secondary / secondary special,Civil marriage,House / apartment,135000,Cluster 10
4500,-22657,365243,"",F,Pensioner,Secondary / secondary special,Married,House / apartment,99000,Cluster 10
4502,-22657,365243,"",F,Pensioner,Secondary / secondary special,Married,House / apartment,99000,Cluster 10
4563,-23636,365243,"",M,Pensioner,Higher education,Married,House / apartment,202500,Cluster 10
4607,-13765,-5664,Drivers,F,Commercial associate,Secondary / secondary special,Single / not married,House / apartment,180000,Cluster 10
4687,-22041,-1524,Accountants,F,Working,Secondary / secondary special,Married,House / apartment,180000,Cluster 10
4729,-13350,-1981,Laborers,M,Working,Secondary / secondary special,Married,House / apartment,202500,Cluster 10
3175,-8145,365243,"",M,Pensioner,Secondary / secondary special,Single / not married,House / apartment,112500,Cluster 11
4823,-15509,-1189,Drivers,M,Commercial associate,Secondary / secondary special,Married,House / apartment,315000,Cluster 11
4894,-22109,365243,"",F,Pensioner,Secondary / secondary special,Married,House / apartment,67500,Cluster 11
5397,-17592,-2923,Core staff,F,Commercial associate,Secondary / secondary special,Married,House / apartment,225000,Cluster 11
5590,-13610,-184,"",F,Working,Secondary / secondary special,Married,House / apartment,247500,Cluster 11
5641,-15376,-6851,Laborers,F,Working,Secondary / secondary special,Married,House / apartment,112500,Cluster 11
5891,-14074,-4720,Core staff,F,Working,Secondary / secondary special,Single / not married,House / apartment,112500,Cluster 11
6242,-22459,365243,"",F,Pensioner,Secondary / secondary special,Married,Municipal apartment,162000,Cluster 11
6689,-23978,365243,"",F,Pensioner,Secondary / secondary special,Married,House / apartment,112500,Cluster 11
7036,-20578,365243,"",F,Pensioner,Secondary / secondary special,Married,House / apartment,270000,Cluster 11
7396,-22062,365243,"",F,Pensioner,Higher education,Married,House / apartment,112500,Cluster 11
7990,-18981,-2960,Sales staff,F,Commercial associate,Secondary / secondary special,Married,House / apartment,315000,Cluster 11
8083,-17627,-4816,High skill tech staff,M,State servant,Higher education,Married,House / apartment,193500,Cluster 11
8498,-15923,-961,Waiters/barmen staff,F,Working,Secondary / secondary special,Married,House / apartment,135000,Cluster 11
8500,-15923,-961,Waiters/barmen staff,F,Working,Secondary / secondary special,Married,House / apartment,135000,Cluster 11
8611,-23019,365243,"",F,Pensioner,Secondary / secondary special,Single / not married,House / apartment,135000,Cluster 11
9194,-16034,-1022,Medicine staff,F,Working,Higher education,Civil marriage,House / apartment,90000,Cluster 11
9222,-21475,365243,"",F,Pensioner,Secondary / secondary special,Married,House / apartment,63000,Cluster 11
9397,-14802,-2789,Sales staff,F,Commercial associate,Secondary / secondary special,Married,House / apartment,157500,Cluster 11
9488,-13605,-1329,Core staff,F,Working,Secondary / secondary special,Married,House / apartment,112500,Cluster 11
9969,-22802,365243,"",F,Pensioner,Secondary / secondary special,Separated,House / apartment,135000,Cluster 11
248,-10450,-2077,Sales staff,M,Working,Secondary / secondary special,Civil marriage,House / apartment,315000,Cluster 11
254,-17726,-708,Core staff,F,State servant,Higher education,Married,House / apartment,450000,Cluster 11
336,-12915,-3174,Sales staff,F,Working,Secondary / secondary special,Married,House / apartment,157500,Cluster 11
441,-21041,365243,"",F,Pensioner,Secondary / secondary special,Married,House / apartment,144000,Cluster 11
988,-19958,-7465,Laborers,M,Working,Higher education,Married,House / apartment,360000,Cluster 11
1406,-13758,-2535,Managers,F,Commercial associate,Higher education,Married,House / apartment,540000,Cluster 11
1638,-11055,-1074,Laborers,M,Working,Higher education,Single / not married,House / apartment,180000,Cluster 11
1743,-15533,-3386,"",F,Working,Secondary / secondary special,Married,House / apartment,360000,Cluster 11
1904,-14733,-1379,Sales staff,M,Commercial associate,Secondary / secondary special,Married,House / apartment,337500,Cluster 11
2032,-19156,-4504,"",F,Working,Higher education,Married,House / apartment,292500,Cluster 11
2400,-9787,-1674,"",M,State servant,Incomplete higher,Married,House / apartment,270000,Cluster 11
2550,-10406,-2774,Core staff,F,Working,Secondary / secondary special,Married,House / apartment,112500,Cluster 11
2668,-16949,-1371,Managers,F,Commercial associate,Higher education,Married,House / apartment,135000,Cluster 11
2704,-22212,365243,"",F,Pensioner,Higher education,Married,House / apartment,67500,Cluster 11
2916,-12044,-2805,Sales staff,F,Working,Secondary / secondary special,Married,House / apartment,112500,Cluster 11
3193,-14166,-2404,Medicine staff,M,State servant,Secondary / secondary special,Married,House / apartment,405000,Cluster 11
3268,-17803,-10079,Core staff,F,Working,Secondary / secondary special,Single / not married,House / apartment,202500,Cluster 11
3483,-12494,-978,Laborers,M,Commercial associate,Secondary / secondary special,Separated,House / apartment,180000,Cluster 11
3726,-24167,365243,"",F,Pensioner,Secondary / secondary special,Married,House / apartment,81000,Cluster 11
3753,-21135,365243,"",F,Pensioner,Secondary / secondary special,Single / not married,House / apartment,112500,Cluster 11
3986,-23044,365243,"",F,Pensioner,Secondary / secondary special,Married,House / apartment,108000,Cluster 11
4093,-17686,-8756,Core staff,F,Working,Secondary / secondary special,Married,House / apartment,180000,Cluster 11
4171,-10229,-1209,Accountants,F,Commercial associate,Incomplete higher,Single / not married,House / apartment,225000,Cluster 11
4188,-11736,-1816,Cooking staff,F,Working,Secondary / secondary special,Married,House / apartment,117000,Cluster 11
4278,-17800,-1086,Accountants,F,Commercial associate,Higher education,Civil marriage,House / apartment,157500,Cluster 11
4484,-17135,-93,"",F,Working,Secondary / secondary special,Separated,House / apartment,189000,Cluster 11
4604,-20815,365243,"",F,Pensioner,Higher education,Married,House / apartment,112500,Cluster 11
4615,-23619,365243,"",F,Pensioner,Secondary / secondary special,Single / not married,House / apartment,135000,Cluster 11
4699,-15675,-305,Sales staff,F,Working,Secondary / secondary special,Widow,House / apartment,135000,Cluster 11
4727,-9685,-1098,Sales staff,F,Working,Secondary / secondary special,Married,House / apartment,202500,Cluster 11
4843,-8351,-124,Drivers,M,Commercial associate,Secondary / secondary special,Single / not married,With parents,202500,Cluster 11
5229,-16510,-731,"",M,Commercial associate,Secondary / secondary special,Married,House / apartment,405000,Cluster 11
5702,-13219,-5542,Core staff,F,Working,Secondary / secondary special,Separated,House / apartment,173250,Cluster 11
5750,-15938,-8342,Medicine staff,F,Working,Secondary / secondary special,Married,House / apartment,180000,Cluster 11
5947,-21512,365243,"",F,Pensioner,Secondary / secondary special,Married,House / apartment,148500,Cluster 11
6189,-15972,-5055,"",F,State servant,Secondary / secondary special,Married,House / apartment,180000,Cluster 11
6340,-22078,365243,"",F,Pensioner,Secondary / secondary special,Widow,House / apartment,157500,Cluster 11
6457,-22440,365243,"",F,Pensioner,Secondary / secondary special,Married,House / apartment,90000,Cluster 11
6498,-15960,-1646,Managers,M,Commercial associate,Secondary / secondary special,Married,Rented apartment,1125000,Cluster 11
6523,-9901,-124,Drivers,M,Commercial associate,Secondary / secondary special,Married,House / apartment,180000,Cluster 11
6683,-15686,-223,Core staff,F,Commercial associate,Secondary / secondary special,Single / not married,House / apartment,112500,Cluster 11
7129,-17293,-203,Laborers,M,Working,Secondary / secondary special,Married,House / apartment,270000,Cluster 11
7882,-20151,-525,Accountants,F,Working,Secondary / secondary special,Widow,House / apartment,207000,Cluster 11
7959,-20412,-5427,Managers,F,Commercial associate,Secondary / secondary special,Married,House / apartment,360000,Cluster 11
8566,-20689,365243,"",M,Pensioner,Secondary / secondary special,Single / not married,House / apartment,63000,Cluster 11
8607,-23019,365243,"",F,Pensioner,Secondary / secondary special,Single / not married,House / apartment,135000,Cluster 11
8913,-9187,-1268,Laborers,F,Working,Secondary / secondary special,Married,With parents,90000,Cluster 11
9252,-14402,-475,High skill tech staff,F,Commercial associate,Secondary / secondary special,Married,House / apartment,90000,Cluster 11
9510,-12506,-908,High skill tech staff,F,Working,Higher education,Civil marriage,With parents,202500,Cluster 11
9575,-10138,-1359,Sales staff,F,Working,Higher education,Married,House / apartment,216000,Cluster 11
9772,-24831,365243,"",F,Pensioner,Secondary / secondary special,Married,House / apartment,103500,Cluster 11
9841,-13043,-390,Laborers,M,Commercial associate,Secondary / secondary special,Married,House / apartment,157500,Cluster 11
9892,-13782,-3032,Security staff,M,Working,Secondary / secondary special,Married,House / apartment,135000,Cluster 11
9899,-18497,-2216,Sales staff,F,Working,Secondary / secondary special,Single / not married,House / apartment,189000,Cluster 11
326,-19575,-2901,Sales staff,F,Working,Secondary / secondary special,Married,House / apartment,180000,Cluster 11
430,-15140,-4816,Cleaning staff,F,Working,Secondary / secondary special,Civil marriage,House / apartment,130500,Cluster 11
435,-15140,-4816,Cleaning staff,F,Working,Secondary / secondary special,Civil marriage,House / apartment,130500,Cluster 11
1224,-23336,365243,"",F,Pensioner,Secondary / secondary special,Married,House / apartment,126000,Cluster 11
1253,-21572,-2170,Secretaries,M,Commercial associate,Incomplete higher,Married,House / apartment,315000,Cluster 11
1436,-15675,-283,Medicine staff,F,Working,Secondary / secondary special,Married,House / apartment,67500,Cluster 11
1543,-18184,-3021,Laborers,F,Commercial associate,Secondary / secondary special,Separated,House / apartment,315000,Cluster 11
1787,-15140,-3174,Sales staff,F,Commercial associate,Secondary / secondary special,Married,House / apartment,67500,Cluster 11
1879,-16814,-6614,"",F,Working,Secondary / secondary special,Single / not married,House / apartment,135000,Cluster 11
1974,-20298,365243,"",F,Pensioner,Secondary / secondary special,Married,Municipal apartment,315000,Cluster 11
1977,-20298,365243,"",F,Pensioner,Secondary / secondary special,Married,Municipal apartment,315000,Cluster 11
2178,-16896,-248,Laborers,M,Working,Secondary / secondary special,Married,House / apartment,270000,Cluster 11
2428,-19309,-2435,"",F,State servant,Higher education,Married,House / apartment,225000,Cluster 11
2702,-22212,365243,"",F,Pensioner,Higher education,Married,House / apartment,67500,Cluster 11
2818,-12811,-4327,"",M,Working,Higher education,Single / not married,House / apartment,202500,Cluster 11
3180,-16951,-3017,"",F,Working,Secondary / secondary special,Married,House / apartment,157500,Cluster 11
3212,-20692,365243,"",F,Pensioner,Secondary / secondary special,Widow,House / apartment,225000,Cluster 11
3234,-11984,-2043,Core staff,F,Commercial associate,Higher education,Single / not married,House / apartment,247500,Cluster 11
3392,-21289,365243,"",F,Pensioner,Secondary / secondary special,Married,House / apartment,90000,Cluster 11
3474,-12494,-978,Laborers,M,Commercial associate,Secondary / secondary special,Separated,House / apartment,180000,Cluster 11
3642,-21187,365243,"",F,Pensioner,Secondary / secondary special,Widow,House / apartment,157500,Cluster 11
3742,-12288,-1635,Core staff,F,Working,Higher education,Married,House / apartment,180000,Cluster 11
3748,-21135,365243,"",F,Pensioner,Secondary / secondary special,Single / not married,House / apartment,112500,Cluster 11
5367,-18611,-3563,Security staff,F,Working,Secondary / secondary special,Married,House / apartment,211500,Cluster 11
5393,-22212,365243,"",F,Pensioner,Incomplete higher,Widow,House / apartment,112500,Cluster 11
3858,-25140,365243,"",F,Pensioner,Secondary / secondary special,Widow,House / apartment,76500,Cluster 12
5513,-15005,-1827,Sales staff,F,Commercial associate,Secondary / secondary special,Married,House / apartment,94500,Cluster 12
5871,-20483,-792,Drivers,M,Working,Secondary / secondary special,Married,House / apartment,315000,Cluster 12
5937,-13694,-246,Laborers,M,Working,Secondary / secondary special,Married,House / apartment,256500,Cluster 12
5996,-20013,365243,"",F,Pensioner,Secondary / secondary special,Married,House / apartment,135000,Cluster 12
6020,-19190,-1159,Sales staff,F,Working,Higher education,Widow,House / apartment,180000,Cluster 12
6704,-17297,-2018,Sales staff,F,Commercial associate,Secondary / secondary special,Married,House / apartment,157500,Cluster 12
6747,-13520,-5488,Core staff,F,Working,Secondary / secondary special,Married,House / apartment,130500,Cluster 12
7090,-14166,-1991,Core staff,F,Working,Secondary / secondary special,Single / not married,House / apartment,112500,Cluster 12
7389,-15653,-5500,Core staff,F,Commercial associate,Secondary / secondary special,Married,House / apartment,315000,Cluster 12
7391,-15653,-5500,Core staff,F,Commercial associate,Secondary / secondary special,Married,House / apartment,315000,Cluster 12
7420,-10681,-2152,Sales staff,M,Commercial associate,Higher education,Single / not married,With parents,225000,Cluster 12
7756,-17046,-5347,Drivers,M,Working,Secondary / secondary special,Married,House / apartment,252000,Cluster 12
8055,-15973,-4603,Laborers,F,Working,Secondary / secondary special,Married,House / apartment,108000,Cluster 12
8149,-22115,365243,"",F,Pensioner,Secondary / secondary special,Married,House / apartment,180000,Cluster 12
8306,-12594,-3153,"",F,Working,Secondary / secondary special,Married,House / apartment,270000,Cluster 12
8393,-20952,-3852,Managers,F,Working,Secondary / secondary special,Married,House / apartment,247500,Cluster 12
8394,-20952,-3852,Managers,F,Working,Secondary / secondary special,Married,House / apartment,247500,Cluster 12
8420,-18861,-1480,Drivers,M,State servant,Secondary / secondary special,Civil marriage,House / apartment,153000,Cluster 12
8471,-15201,-1845,Core staff,F,Working,Higher education,Married,House / apartment,180000,Cluster 12
8648,-21215,-808,Medicine staff,F,State servant,Secondary / secondary special,Married,House / apartment,112500,Cluster 12
8659,-18256,-2391,Sales staff,F,Working,Secondary / secondary special,Single / not married,House / apartment,225000,Cluster 12
8845,-13876,-6990,Laborers,M,Working,Secondary / secondary special,Married,House / apartment,202500,Cluster 12
9536,-21766,365243,"",F,Pensioner,Secondary / secondary special,Single / not married,House / apartment,193500,Cluster 12
176,-16582,-1194,Cleaning staff,F,Working,Secondary / secondary special,Separated,House / apartment,270000,Cluster 12
509,-23187,365243,"",M,Pensioner,Secondary / secondary special,Married,House / apartment,115290,Cluster 12
558,-19944,365243,"",M,Pensioner,Secondary / secondary special,Married,House / apartment,99000,Cluster 12
559,-8657,-1164,Laborers,M,Working,Secondary / secondary special,Single / not married,With parents,198000,Cluster 12
593,-19702,-9870,"",F,Working,Secondary / secondary special,Married,House / apartment,157500,Cluster 12
603,-13241,-4451,"",F,Commercial associate,Higher education,Married,House / apartment,180000,Cluster 12
622,-11706,-1164,Drivers,M,Commercial associate,Secondary / secondary special,Married,House / apartment,270000,Cluster 12
1278,-13790,-5639,"",M,Working,Incomplete higher,Married,House / apartment,562500,Cluster 12
1296,-13790,-5639,"",M,Working,Incomplete higher,Married,House / apartment,562500,Cluster 12
1437,-15675,-283,Medicine staff,F,Working,Secondary / secondary special,Married,House / apartment,67500,Cluster 12
1955,-12021,-130,Sales staff,F,Working,Secondary / secondary special,Married,House / apartment,135000,Cluster 12
1973,-20298,365243,"",F,Pensioner,Secondary / secondary special,Married,Municipal apartment,315000,Cluster 12
2228,-11007,-762,"",F,Working,Higher education,Married,House / apartment,121500,Cluster 12
2677,-20940,365243,"",F,Pensioner,Secondary / secondary special,Civil marriage,House / apartment,328500,Cluster 12
3447,-11998,-1497,Managers,F,Working,Higher education,Widow,House / apartment,202500,Cluster 12
3465,-17262,-1617,Core staff,M,Working,Secondary / secondary special,Married,House / apartment,202500,Cluster 12
3972,-16503,-2670,Managers,F,Commercial associate,Higher education,Married,House / apartment,225000,Cluster 12
4092,-17686,-8756,Core staff,F,Working,Secondary / secondary special,Married,House / apartment,180000,Cluster 12
4275,-13128,-1392,Laborers,M,Commercial associate,Higher education,Married,House / apartment,270000,Cluster 12
4460,-19737,-5359,"",F,State servant,Higher education,Married,House / apartment,450000,Cluster 12
4845,-10245,-2284,Laborers,M,Working,Secondary / secondary special,Single / not married,House / apartment,157500,Cluster 12
4886,-20689,-4538,"",M,Commercial associate,Secondary / secondary special,Married,House / apartment,270000,Cluster 12
5353,-24482,365243,"",F,Pensioner,Lower secondary,Civil marriage,House / apartment,112500,Cluster 12
5487,-12264,-1097,Laborers,F,Commercial associate,Secondary / secondary special,Married,House / apartment,126000,Cluster 12
5548,-15714,-458,"",F,Commercial associate,Secondary / secondary special,Separated,House / apartment,292500,Cluster 12
6210,-24691,365243,"",F,Pensioner,Secondary / secondary special,Married,House / apartment,85500,Cluster 12
6954,-12377,-3207,Core staff,M,Commercial associate,Secondary / secondary special,Single / not married,House / apartment,90000,Cluster 12
7017,-10351,-1322,"",F,Working,Secondary / secondary special,Married,House / apartment,180000,Cluster 12
7183,-12874,-173,"",F,Commercial associate,Higher education,Single / not married,House / apartment,189000,Cluster 12
7424,-10681,-2152,Sales staff,M,Commercial associate,Higher education,Single / not married,With parents,225000,Cluster 12
7878,-12570,-3095,Managers,F,Commercial associate,Secondary / secondary special,Married,House / apartment,360000,Cluster 12
8235,-15575,-139,Drivers,M,Working,Secondary / secondary special,Married,House / apartment,157500,Cluster 12
8985,-16031,-1237,Sales staff,F,Working,Secondary / secondary special,Civil marriage,House / apartment,112500,Cluster 12
8992,-15487,-3093,Laborers,M,Working,Secondary / secondary special,Married,House / apartment,270000,Cluster 12
9249,-16299,-1450,Sales staff,F,Working,Secondary / secondary special,Married,House / apartment,81000,Cluster 12
9782,-24831,365243,"",F,Pensioner,Secondary / secondary special,Married,House / apartment,103500,Cluster 12
81,-17016,-1347,Core staff,F,Commercial associate,Higher education,Separated,Rented apartment,247500,Cluster 12
322,-19575,-2901,Sales staff,F,Working,Secondary / secondary special,Married,House / apartment,180000,Cluster 12
350,-17573,-5792,Managers,F,Working,Higher education,Married,House / apartment,270000,Cluster 12
373,-12333,-860,Accountants,F,Working,Higher education,Married,House / apartment,270000,Cluster 12
429,-15140,-4816,Cleaning staff,F,Working,Secondary / secondary special,Civil marriage,House / apartment,130500,Cluster 12
530,-12506,-495,Accountants,F,Working,Higher education,Civil marriage,House / apartment,76500,Cluster 12
704,-17383,-890,Core staff,F,Working,Secondary / secondary special,Married,House / apartment,144000,Cluster 12
1539,-18184,-3021,Laborers,F,Commercial associate,Secondary / secondary special,Separated,House / apartment,315000,Cluster 12
1624,-12461,-678,Sales staff,F,Working,Secondary / secondary special,Civil marriage,House / apartment,180000,Cluster 12
2043,-16338,-4654,Managers,M,Working,Higher education,Married,House / apartment,675000,Cluster 12
2418,-19201,-1309,Managers,M,Commercial associate,Secondary / secondary special,Married,House / apartment,306000,Cluster 12
2745,-13100,-2013,"",F,Working,Secondary / secondary special,Single / not married,Rented apartment,180000,Cluster 12
2972,-15581,-187,"",F,Working,Secondary / secondary special,Married,House / apartment,54000,Cluster 12
3093,-8738,-126,Sales staff,M,Working,Secondary / secondary special,Married,House / apartment,202500,Cluster 12
3116,-10845,-521,High skill tech staff,F,Working,Higher education,Married,With parents,157500,Cluster 12
3287,-10144,-825,Laborers,M,Working,Secondary / secondary special,Married,House / apartment,202500,Cluster 12
3335,-9862,-2135,Laborers,M,Commercial associate,Secondary / secondary special,Single / not married,Municipal apartment,157500,Cluster 12
3432,-13127,-1279,Managers,M,Working,Higher education,Widow,House / apartment,216000,Cluster 12
3503,-14100,-3623,Private service staff,F,Commercial associate,Higher education,Married,House / apartment,225000,Cluster 12
4350,-14487,-2538,Core staff,F,Working,Incomplete higher,Married,House / apartment,292500,Cluster 12
4573,-15167,-2162,Drivers,M,Commercial associate,Secondary / secondary special,Married,House / apartment,270000,Cluster 12
5253,-14558,-1250,High skill tech staff,F,Commercial associate,Higher education,Married,House / apartment,337500,Cluster 12
5411,-22636,-3076,Drivers,M,Commercial associate,Higher education,Married,House / apartment,360000,Cluster 12
5470,-13933,-3625,Accountants,F,Commercial associate,Secondary / secondary special,Civil marriage,Municipal apartment,225000,Cluster 12
5625,-12245,-672,Laborers,M,Commercial associate,Secondary / secondary special,Married,House / apartment,126000,Cluster 12
6087,-23355,365243,"",F,Pensioner,Lower secondary,Married,House / apartment,112500,Cluster 12
6125,-15173,-7916,Managers,M,State servant,Higher education,Married,House / apartment,531000,Cluster 12
6226,-22034,365243,"",F,Pensioner,Secondary / secondary special,Married,House / apartment,90000,Cluster 12
6271,-14697,-1767,Sales staff,F,Commercial associate,Secondary / secondary special,Civil marriage,House / apartment,130500,Cluster 12
6438,-16625,-2011,Core staff,F,Commercial associate,Secondary / secondary special,Married,House / apartment,157500,Cluster 12
6482,-21109,-8555,Laborers,M,Working,Secondary / secondary special,Married,House / apartment,166500,Cluster 12
6615,-17587,-3411,Cleaning staff,F,Working,Secondary / secondary special,Married,House / apartment,67500,Cluster 12
6751,-13520,-5488,Core staff,F,Working,Secondary / secondary special,Married,House / apartment,130500,Cluster 12
6834,-17474,-313,Sales staff,F,Commercial associate,Higher education,Civil marriage,House / apartment,180000,Cluster 12
7076,-21967,365243,"",F,Pensioner,Secondary / secondary special,Civil marriage,House / apartment,81000,Cluster 12
7094,-19147,-1868,Laborers,M,Commercial associate,Higher education,Married,House / apartment,216000,Cluster 12
7410,-11359,-1726,Core staff,F,State servant,Higher education,Married,House / apartment,225000,Cluster 12
7600,-19338,-1695,Drivers,M,Working,Secondary / secondary special,Married,House / apartment,171000,Cluster 12
7781,-23225,365243,"",F,Pensioner,Secondary / secondary special,Married,House / apartment,90000,Cluster 12
7813,-20063,-1907,Laborers,F,State servant,Secondary / secondary special,Married,House / apartment,202500,Cluster 12
1009,-12756,365243,"",F,Pensioner,Secondary / secondary special,Married,House / apartment,99000,Cluster 13
8036,-9889,-2289,Managers,M,Working,Secondary / secondary special,Married,House / apartment,202500,Cluster 13
8161,-21361,365243,"",F,Pensioner,Secondary / secondary special,Married,House / apartment,108000,Cluster 13
8162,-21406,365243,"",F,Pensioner,Secondary / secondary special,Civil marriage,House / apartment,144000,Cluster 13
8378,-20371,365243,"",F,Pensioner,Secondary / secondary special,Widow,House / apartment,67500,Cluster 13
8563,-20689,365243,"",M,Pensioner,Secondary / secondary special,Single / not married,House / apartment,63000,Cluster 13
9272,-15647,-2514,High skill tech staff,M,Commercial associate,Incomplete higher,Married,House / apartment,315000,Cluster 13
9294,-14474,-5162,Laborers,F,Working,Secondary / secondary special,Married,House / apartment,202500,Cluster 13
9300,-15096,-994,Laborers,F,Commercial associate,Secondary / secondary special,Married,House / apartment,99000,Cluster 13
9449,-15787,-2270,Laborers,F,Working,Secondary / secondary special,Widow,House / apartment,202500,Cluster 13
9754,-19235,-1305,Drivers,M,Working,Higher education,Married,House / apartment,900000,Cluster 13
9763,-16274,-7172,"",F,State servant,Higher education,Married,House / apartment,517500,Cluster 13
9857,-23289,365243,"",M,Pensioner,Secondary / secondary special,Married,House / apartment,65250,Cluster 13
121,-15519,-3234,Laborers,F,Commercial associate,Secondary / secondary special,Single / not married,Rented apartment,297000,Cluster 13
208,-15444,-3112,"",F,State servant,Higher education,Married,House / apartment,216000,Cluster 13
355,-20953,-8684,Accountants,F,State servant,Secondary / secondary special,Married,House / apartment,292500,Cluster 13
1131,-20931,-191,Security staff,M,Working,Secondary / secondary special,Married,House / apartment,135000,Cluster 13
1283,-13790,-5639,"",M,Working,Incomplete higher,Married,House / apartment,562500,Cluster 13
1529,-18476,-2625,Managers,M,Working,Higher education,Married,Office apartment,450000,Cluster 13
1627,-19263,365243,"",F,Pensioner,Secondary / secondary special,Married,Municipal apartment,180000,Cluster 13
1642,-13360,-4086,Laborers,M,Working,Secondary / secondary special,Married,House / apartment,270000,Cluster 13
1828,-18173,-678,Core staff,M,Commercial associate,Secondary / secondary special,Married,House / apartment,450000,Cluster 13
1897,-13768,-2565,Managers,F,Commercial associate,Secondary / secondary special,Married,House / apartment,270000,Cluster 13
2055,-10141,-2531,Cooking staff,F,Commercial associate,Secondary / secondary special,Single / not married,House / apartment,180000,Cluster 13
2062,-15172,-2374,Sales staff,M,Commercial associate,Secondary / secondary special,Married,House / apartment,112500,Cluster 13
2258,-20066,-3988,Private service staff,F,Working,Secondary / secondary special,Married,House / apartment,270000,Cluster 13
2263,-18907,-2470,Sales staff,F,Commercial associate,Higher education,Single / not married,House / apartment,126000,Cluster 13
2342,-18136,-10110,High skill tech staff,F,State servant,Secondary / secondary special,Married,House / apartment,144000,Cluster 13
2545,-10406,-2774,Core staff,F,Working,Secondary / secondary special,Married,House / apartment,112500,Cluster 13
3048,-21503,-1674,Core staff,M,Commercial associate,Higher education,Married,House / apartment,256500,Cluster 13
3179,-16951,-3017,"",F,Working,Secondary / secondary special,Married,House / apartment,157500,Cluster 13
3182,-16951,-3017,"",F,Working,Secondary / secondary special,Married,House / apartment,157500,Cluster 13
3283,-13263,-5269,Managers,M,Working,Higher education,Married,House / apartment,337500,Cluster 13
3295,-12022,-1674,Laborers,M,Commercial associate,Secondary / secondary special,Civil marriage,House / apartment,202500,Cluster 13
3356,-15903,-762,Sales staff,F,Commercial associate,Secondary / secondary special,Single / not married,House / apartment,112500,Cluster 13
3569,-12615,-1156,Laborers,M,Working,Higher education,Married,House / apartment,315000,Cluster 13
3613,-24311,365243,"",F,Pensioner,Secondary / secondary special,Married,House / apartment,76500,Cluster 13
3712,-21868,365243,"",F,Pensioner,Lower secondary,Married,House / apartment,94500,Cluster 13
4191,-11084,-1086,Sales staff,F,Commercial associate,Secondary / secondary special,Civil marriage,House / apartment,67500,Cluster 13
4348,-14487,-2538,Core staff,F,Working,Incomplete higher,Married,House / apartment,292500,Cluster 13
4532,-9066,-2407,Cooking staff,M,Commercial associate,Secondary / secondary special,Married,House / apartment,157500,Cluster 13
4741,-22042,365243,"",F,Pensioner,Secondary / secondary special,Civil marriage,House / apartment,202500,Cluster 13
4955,-23886,365243,"",F,Pensioner,Higher education,Married,House / apartment,162000,Cluster 13
5124,-23289,365243,"",M,Pensioner,Secondary / secondary special,Civil marriage,House / apartment,180000,Cluster 13
5206,-13411,-185,Laborers,M,Working,Secondary / secondary special,Married,House / apartment,225000,Cluster 13
5226,-12161,-1159,Drivers,M,Commercial associate,Higher education,Married,House / apartment,193500,Cluster 13
5607,-16043,-3837,High skill tech staff,F,Commercial associate,Higher education,Married,House / apartment,90000,Cluster 13
6253,-9812,-338,Sales staff,M,Working,Secondary / secondary special,Single / not married,Municipal apartment,315000,Cluster 13
6774,-23096,365243,"",M,Pensioner,Secondary / secondary special,Married,House / apartment,112500,Cluster 13
7507,-12483,-4039,Managers,M,Commercial associate,Secondary / secondary special,Married,House / apartment,360000,Cluster 13
7598,-18493,-387,Sales staff,F,Commercial associate,Secondary / secondary special,Married,House / apartment,180000,Cluster 13
7673,-9963,-1876,Sales staff,F,Working,Secondary / secondary special,Married,House / apartment,67500,Cluster 13
7703,-9430,-721,"",F,Working,Secondary / secondary special,Married,House / apartment,90000,Cluster 13
7715,-22283,365243,"",F,Pensioner,Secondary / secondary special,Married,House / apartment,135000,Cluster 13
7872,-10429,-1695,Core staff,F,State servant,Higher education,Separated,House / apartment,337500,Cluster 13
7994,-18981,-2960,Sales staff,F,Commercial associate,Secondary / secondary special,Married,House / apartment,315000,Cluster 13
8125,-18131,-617,Laborers,F,Working,Secondary / secondary special,Married,House / apartment,94500,Cluster 13
8922,-11888,-1419,Medicine staff,F,Commercial associate,Secondary / secondary special,Separated,With parents,153000,Cluster 13
9562,-13241,-1974,Accountants,F,Commercial associate,Higher education,Widow,House / apartment,405000,Cluster 13
747,-8489,-921,"",M,Commercial associate,Secondary / secondary special,Single / not married,With parents,202500,Cluster 13
851,-9087,-1682,Laborers,M,Working,Higher education,Single / not married,House / apartment,270000,Cluster 13
904,-14883,-5457,Cooking staff,F,Working,Secondary / secondary special,Married,House / apartment,99000,Cluster 13
1020,-16613,-3235,"",F,Working,Secondary / secondary special,Married,House / apartment,135000,Cluster 13
1565,-10145,-1682,Sales staff,F,Working,Higher education,Married,House / apartment,121500,Cluster 13
2059,-15172,-2374,Sales staff,M,Commercial associate,Secondary / secondary special,Married,House / apartment,112500,Cluster 13
2153,-11901,-183,Core staff,F,Commercial associate,Higher education,Married,House / apartment,180000,Cluster 13
